etykieta_oryginalna,grupa_glowna
AKD,K
AUP,U
AZL,L
CP,K
CPJ,K
CZ,Z
D,K
DA,K
E,I
E-110KV,I
E-GPZ,I
EC,I
EE,I
EG,I
G,K
IC,I
IE,I
IG,I
IS,I
IT,I
IT-E,I
IT-EE,I
ITE,I
ITG,I
K,K
KD,K
KD-L,K
KD.01-L,K
KD.02-L,K
KD.D,K
KD.L,K
KD.Z,K
KDD,K
KDGP,K
KDJ,K
KDL,K
KDL1/,K
KDP,K
KDS,K
KDW,K
KDW.04-D,K
KDWX,K
KDZ,K
KDZ-WS,K
KK,K
KL,K
KOP,P
KP,K
KP-Z,K
KPJ,K
KPR,K
KR,K
KS,K
KSP,K
KT,K
KW,K
KW.X,K
KX,K
L,L
LS,L
M,M
MJ,M
ML,M
MLI,M
MLU,M
MN,M
MN-MW,M
MN-U,M
MN/U,M
MNI,M
MNU,M
MNW,M
MNW-ML,M
MN_U,M
MP,M
MR,M
MT,M
MU,M
MU_US,M
MU_UT,M
MW,M
MW+U,M
MW-U,M
MW/U,M
MWU,M
MW_10U,M
MW_2U,M
MW_4U,M
MW_5U,M
MW_6U,M
MW_7U,M
MW_8U,M
MW_9U,M
MW_U,M
N,R
NO,IK
NOP,IK
P,P
P/U,P
PEF,I
PG-E,P
PG-F,P
PJ,P
PR,P
PS,P
PU,P
PUO,P
PZ,P
R,R
R/ZZ,R
RL,R
RM,R
RP,R
RU,R
RZ,R
RZW,R
T,K
TI,I
U,U
U+MN,U
U+P,U
U/MW,U
UA,U
UC/U,U
UE-US-UK,U
UGH,U
UH,U
UHG,U
UK,U
UKS,U
UK_UT,U
UM,U
UO,U
UP,U
UR,U
UR_ZP,U
US,U
US-UK-KP,U
US-ZP,U
UT,U
UTL,U
UTP,U
UU,U
UZ,U
U_K,U
U_MW,U
U_P,U
W,W
W-K,W
WKO,W
WO,W
WP,W
WR,W
WS,W
WW,W
WZ,I
Z,Z
ZC,C
ZD,Z
ZE,Z
ZI,Z
ZI1_KP,Z
ZL,Z
ZN,Z
ZN_WS,Z
ZO,Z
ZP,Z
ZP1_KP1_US,Z
ZP_WS,Z
ZR,Z
ZRL,Z
ZU,Z
ZZ,Z
ZZ/ZU,Z
