etykieta_oryginalna;etykieta_przezn;count;grupa_glowna
MU4;MU4;4462;M
MU11;MU11;4104;M
MU1;MU1;3818;M
MU13;MU13;3394;M
MU10;MU10;3348;M
MU3;MU3;3254;M
MU9;MU9;3122;M
MU7;MU7;2982;M
MU6;MU6;2978;M
MU8;MU8;2570;M
MU17;MU17;2416;M
MU12;MU12;2392;M
MU2;MU2;2330;M
MU16;MU16;2168;M
MU19;MU19;2124;M
1MU;1MU;2122;M
MU5;MU5;2116;M
MU21;MU21;2058;M
MU15;MU15;1806;M
1MW;1MW;1728;M
MU22;MU22;1544;M
MU20;MU20;1518;M
MU37;MU37;1362;M
MU32;MU32;1258;M
MN3;MN3;1244;M
MU14;MU14;1172;M
S6MU3;S6MU3;1134;M
S6MU9;S6MU9;1104;M
MU27;MU27;1086;M
MU18;MU18;1050;M
2MU;2MU;980;M
MU28;MU28;954;M
1MW/U;1MW/U;954;M
S6MU2;S6MU2;904;M
3MU;3MU;898;M
M2;M2;782;M
MU31;MU31;736;M
MU44;MU44;730;M
MU24;MU24;706;M
MU23;MU23;702;M
2MWU;2MWU;702;M
2MN,U;2MN,U;672;M
1MN;1MN;664;M
MU26;MU26;628;M
2MW,2U;2MW,2U;608;M
MU30;MU30;602;M
M4;M4;598;M
S7MU4;S7MU4;592;M
MU45;MU45;590;M
MU25;MU25;586;M
MU36;MU36;584;M
2MN;2MN;580;M
S7MU11;S7MU11;536;M
MN2;MN2;524;M
1MWU;1MWU;514;M
M1;M1;512;M
MU34;MU34;492;M
MU39;MU39;492;M
MU38;MU38;484;M
MN5;MN5;484;M
S5MU8;S5MU8;482;M
MU33;MU33;482;M
MN7;MN7;480;M
S6MU4;S6MU4;474;M
1MW,U;1MW,U;448;M
MU35;MU35;444;M
S6MU7;S6MU7;438;M
4M3;4M3;432;M
S7MU8;S7MU8;420;M
1MN,U;1MN,U;418;M
MN8;MN8;410;M
MU;MU;404;M
3MN;3MN;402;M
S5MU7;S5MU7;402;M
MN6;MN6;380;M
S5MU6;S5MU6;378;M
S7MU15;S7MU15;376;M
S1MU4;S1MU4;366;M
61MU;61MU;354;M
S4MU8;S4MU8;328;M
MN4;MN4;322;M
S4MU5;S4MU5;310;M
MN1;MN1;308;M
S4MU7;S4MU7;300;M
S6MU10;S6MU10;296;M
S7MU3;S7MU3;292;M
S4MU6;S4MU6;292;M
S4MU3;S4MU3;290;M
MU29;MU29;290;M
MU,US;MU,US;266;M
S6MU5;S6MU5;262;M
MU,UT;MU,UT;258;M
S7MU2;S7MU2;256;M
S5MU1;S5MU1;250;M
4MW,4U;4MW,4U;248;M
S1MU5;S1MU5;244;M
S5MU3;S5MU3;240;M
4MU;4MU;238;M
2MW;2MW;224;M
S4MU1;S4MU1;224;M
S3MU1;S3MU1;222;M
S6MU6;S6MU6;216;M
S3MU2;S3MU2;214;M
3MW;3MW;210;M
S7MU13;S7MU13;208;M
4MN,U;4MN,U;206;M
S3MU4;S3MU4;200;M
5MU;5MU;198;M
MU46;MU46;196;M
MU42;MU42;190;M
1MW,10U;1MW,10U;190;M
S3MU6;S3MU6;186;M
5M3;5M3;184;M
MW;MW;184;M
2M3;2M3;182;M
S4MU4;S4MU4;182;M
5MW,5U;5MW,5U;180;M
8MU;8MU;176;M
S6MU1;S6MU1;176;M
S7MU14;S7MU14;174;M
MU40;MU40;174;M
S7MU10;S7MU10;172;M
10MU;10MU;168;M
S5MU2;S5MU2;162;M
S5MU9;S5MU9;162;M
S7MU12;S7MU12;160;M
8MW,8U;8MW,8U;158;M
7MU;7MU;158;M
3MN,U;3MN,U;156;M
S7MU9;S7MU9;154;M
6MU;6MU;150;M
1M3;1M3;144;M
5MN,U;5MN,U;142;M
MU41;MU41;142;M
MU43;MU43;138;M
18MU;18MU;138;M
